"","setname","pval","est","exp","FDR"
"1","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",0.21935987509758,0,"Up",1
"2","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",1,Inf,"Down",1
"3","GOBP_REPRODUCTION",0.89804775565045,1.07331789055431,"Up",1
"4","GOBP_REPRODUCTION",0.368819691479509,1.31159458431992,"Down",1
"5","GOBP_SINGLE_STRAND_BREAK_REPAIR",1,0,"Up",1
"6","GOBP_SINGLE_STRAND_BREAK_REPAIR",1,0,"Down",1
"7","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.524592109431219,0.561415205144181,"Up",1
"8","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.520107156920746,0.553405370560583,"Down",1
"9","GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",1,0,"Up",1
"10","GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",1,0,"Down",1
"11","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",1,0,"Up",1
"12","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",1,0,"Down",1
"13","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",1,0,"Up",1
"14","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",1,0,"Down",1
"15","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",1,Inf,"Up",1
"16","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",1,Inf,"Down",1
"17","GOBP_TRANSITION_METAL_ION_TRANSPORT",1,1.97290218297753,"Up",1
"18","GOBP_TRANSITION_METAL_ION_TRANSPORT",0.381537369180975,0.459291633858712,"Down",1
"19","GOBP_UREA_CYCLE",1,Inf,"Up",1
"20","GOBP_UREA_CYCLE",0.120517024056157,0.137924547144931,"Down",1
"21","GOBP_CITRULLINE_METABOLIC_PROCESS",1,Inf,"Up",1
"22","GOBP_CITRULLINE_METABOLIC_PROCESS",0.0469188414264428,0,"Down",1
"23","GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"Up",1
"24","GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"Down",1
"25","GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"Up",1
"26","GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"Down",1
