"","setname","pval","est","exp","FDR"
"1","KEGG_N_GLYCAN_BIOSYNTHESIS",1,Inf,"Up",1
"2","KEGG_N_GLYCAN_BIOSYNTHESIS",1,Inf,"Down",1
"3","KEGG_OTHER_GLYCAN_DEGRADATION",1,0,"Up",1
"4","KEGG_OTHER_GLYCAN_DEGRADATION",1,0,"Down",1
"5","KEGG_O_GLYCAN_BIOSYNTHESIS",1,Inf,"Up",1
"6","KEGG_O_GLYCAN_BIOSYNTHESIS",0.0469188414264428,0,"Down",0.831133762411273
"7","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",1,Inf,"Up",1
"8","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.386910445965883,0.27666490244165,"Down",1
"9","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",1,Inf,"Up",1
"10","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",0.120517024056157,0.137924547144931,"Down",1
"11","KEGG_GLYCEROLIPID_METABOLISM",1,Inf,"Up",1
"12","KEGG_GLYCEROLIPID_METABOLISM",0.520107156920746,0.553405370560583,"Down",1
"13","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",1,0,"Up",1
"14","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",1,0,"Down",1
"15","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",1,0.842627994095942,"Up",1
"16","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",1,0.830610734852557,"Down",1
"17","KEGG_ETHER_LIPID_METABOLISM",1,0.842627994095942,"Up",1
"18","KEGG_ETHER_LIPID_METABOLISM",1,0.830610734852557,"Down",1
"19","KEGG_ARACHIDONIC_ACID_METABOLISM",0.714105891941578,0.74749555063353,"Up",1
"20","KEGG_ARACHIDONIC_ACID_METABOLISM",0.712439658136087,0.736750700373005,"Down",1
"21","KEGG_LINOLEIC_ACID_METABOLISM",1,1.12439764449476,"Up",1
"22","KEGG_LINOLEIC_ACID_METABOLISM",0.297573325970995,0.414091540798974,"Down",1
"23","KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.524592109431219,0.561415205144181,"Up",1
"24","KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",1,Inf,"Down",1
"25","KEGG_SPHINGOLIPID_METABOLISM",1,Inf,"Up",1
"26","KEGG_SPHINGOLIPID_METABOLISM",0.0469188414264428,0,"Down",0.831133762411273
"27","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.390734777517564,0.280660160314505,"Up",1
"28","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",1,Inf,"Down",1
"29","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",1,Inf,"Up",1
"30","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",1,Inf,"Down",1
