"PROBEID","SYMBOL","t_score","p_value","p_adj"
"225381_at","MIR100HG",-8.56543186367139,8.49088537094417e-15,1.40778879450254e-11
"208131_s_at","PTGIS",-8.47455958603719,9.53567012899676e-15,1.58101410738766e-11
"238478_at","BNC2",-8.4564523953918,9.73188684377989e-15,1.61354683869871e-11
"219778_at","ZFPM2",-8.42996830957601,1.3694515907508e-14,2.27055073746483e-11
"221019_s_at","COLEC12",-8.41104119299018,1.45009268624054e-14,2.40425367378681e-11
"202437_s_at","CYP1B1",-8.4002908904781,1.9385992174147e-14,3.21419750247357e-11
"227061_at","CCDC80",-8.39125494743702,1.33669773828667e-14,2.2162448500793e-11
"204938_s_at","PLN",-8.33166798705423,2.89130598091974e-14,4.79378531636493e-11
"225790_at","MSRB3",-8.30213204303159,2.56379304646536e-14,4.25076887103956e-11
"226065_at","PRICKLE1",-8.28136105096542,3.32802889095084e-14,5.51787190119649e-11
