"PROBEID","SYMBOL","t_score","p_value","p_adj"
"203240_at","FCGBP",7.15076355734415,1.56707946670361e-11,2.59821775579459e-08
"227725_at","ST6GALNAC1",6.74927771043429,1.55248627648686e-10,2.57402224641522e-07
"228241_at","AGR3",6.49803648691312,8.44744269821095e-10,1.40058599936337e-06
"204673_at","MUC2",6.10866922116007,4.9473030367791e-09,8.20262843497975e-06
"220622_at","LRRC31",5.98279558140143,9.87118323362984e-09,1.63664218013583e-05
"226248_s_at","ELAPOR1",5.8040417184201,2.42309193004834e-08,4.01748642002015e-05
"210107_at","CLCA1",5.69293200298569,4.35943534019456e-08,7.22794379404257e-05
"238846_at","TNFRSF11A",5.68025429402906,4.58766060685985e-08,7.60634128617363e-05
"207214_at","SPINK4",5.62322067489708,6.16707198208359e-08,0.000102250053462946
"1553828_at","NXPE1",5.58652746632886,7.53041230178931e-08,0.000124854235963667
